                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                  1.178,                0.67094,                 1.2722,                0.96203,                0.97205,                0.98477,                0.75185,                 1.2099,                0.53712,                 1.3079,               0.003169,               0.003169,               0.003169
                     71,                 1.1794,                0.66048,                 1.2684,                0.94809,                0.97507,                0.98557,                0.79016,                 1.2165,                0.53272,                 1.3136,                0.00307,                0.00307,                0.00307
                     72,                 1.1497,                0.65646,                  1.259,                0.97792,                0.97492,                0.98757,                0.76504,                 1.2184,                0.52166,                 1.3085,               0.002971,               0.002971,               0.002971
                     73,                 1.1666,                0.65903,                 1.2596,                0.96574,                0.97187,                0.98223,                0.74764,                 1.2167,                0.52138,                 1.3085,               0.002872,               0.002872,               0.002872
                     74,                 1.1535,                0.65063,                 1.2541,                0.97624,                0.97659,                0.98444,                0.78438,                 1.2082,                 0.5155,                    1.3,               0.002773,               0.002773,               0.002773
                     75,                 1.1579,                0.65374,                 1.2647,                0.97696,                0.97824,                0.98885,                0.78613,                 1.2068,                0.52193,                    1.3,               0.002674,               0.002674,               0.002674
                     76,                 1.1517,                0.64239,                 1.2547,                0.95912,                0.97334,                 0.9886,                0.77778,                 1.2077,                0.51426,                 1.3013,               0.002575,               0.002575,               0.002575
                     77,                  1.153,                 0.6371,                 1.2617,                0.98653,                0.98119,                0.98895,                0.78152,                 1.2035,                0.50683,                 1.3017,               0.002476,               0.002476,               0.002476
                     78,                 1.1635,                 0.6464,                 1.2595,                  0.976,                0.97806,                0.98899,                0.77814,                 1.1939,                0.50359,                 1.3004,               0.002377,               0.002377,               0.002377
                     79,                 1.1428,                0.63543,                 1.2505,                0.97972,                0.98038,                 0.9885,                0.77696,                 1.2002,                0.49913,                 1.2991,               0.002278,               0.002278,               0.002278
                     80,                 1.1375,                0.62849,                 1.2416,                0.98453,                0.97659,                0.98901,                0.78984,                 1.2174,                0.50252,                 1.2976,               0.002179,               0.002179,               0.002179
                     81,                  1.131,                0.62668,                  1.244,                0.98295,                0.97761,                0.98797,                0.76256,                  1.207,                0.50192,                 1.2967,                0.00208,                0.00208,                0.00208
                     82,                 1.1297,                0.62392,                 1.2412,                0.97254,                0.97521,                0.98749,                0.77714,                 1.2018,                0.49543,                 1.2927,               0.001981,               0.001981,               0.001981
                     83,                 1.1257,                0.61892,                 1.2404,                0.96347,                0.97324,                0.98783,                0.78523,                 1.1958,                0.49711,                 1.2873,               0.001882,               0.001882,               0.001882
                     84,                 1.1258,                0.62064,                 1.2467,                0.96841,                0.97324,                0.98741,                 0.7834,                 1.1997,                 0.4935,                 1.2845,               0.001783,               0.001783,               0.001783
                     85,                 1.1198,                0.61009,                 1.2364,                0.97222,                0.97939,                0.98735,                0.78582,                 1.1973,                0.48727,                 1.2828,               0.001684,               0.001684,               0.001684
                     86,                 1.1238,                0.61127,                 1.2347,                0.98104,                0.97722,                 0.9875,                0.78632,                 1.1934,                0.48223,                 1.2881,               0.001585,               0.001585,               0.001585
                     87,                 1.1168,                0.61767,                 1.2359,                0.96961,                0.97851,                0.98873,                0.78822,                 1.1943,                0.48206,                 1.2862,               0.001486,               0.001486,               0.001486
                     88,                 1.1091,                0.60319,                 1.2298,                0.95564,                0.98161,                0.98522,                0.78546,                 1.2009,                0.48242,                  1.287,               0.001387,               0.001387,               0.001387
                     89,                 1.1166,                0.61317,                 1.2302,                0.96432,                0.97657,                0.98709,                0.76111,                 1.2091,                0.48013,                 1.2932,               0.001288,               0.001288,               0.001288
                     90,                 1.1074,                 0.6021,                 1.2306,                0.96298,                0.97492,                0.98665,                0.78097,                 1.2064,                0.48192,                 1.2942,               0.001189,               0.001189,               0.001189
                     91,                 1.0976,                0.48863,                 1.2297,                0.97403,                0.97051,                0.98638,                0.77274,                  1.206,                0.48541,                 1.3003,                0.00109,                0.00109,                0.00109
                     92,                 1.0831,                0.47929,                 1.2209,                0.95821,                0.97191,                0.98629,                0.77231,                  1.198,                0.48209,                  1.289,               0.000991,               0.000991,               0.000991
                     93,                 1.0773,                0.47348,                 1.2222,                0.96021,                0.97492,                0.98707,                0.76989,                 1.1933,                0.48309,                 1.2886,               0.000892,               0.000892,               0.000892
                     94,                 1.0709,                0.46653,                 1.2142,                0.96593,                0.97156,                0.98754,                0.78456,                 1.1929,                0.47895,                 1.2864,               0.000793,               0.000793,               0.000793
                     95,                 1.0672,                0.46699,                 1.2126,                0.96287,                0.97334,                0.98844,                0.78271,                 1.1969,                0.47993,                  1.291,               0.000694,               0.000694,               0.000694
                     96,                 1.0637,                0.46457,                 1.2128,                  0.963,                0.97395,                0.98825,                0.77584,                 1.1973,                0.48003,                 1.2928,               0.000595,               0.000595,               0.000595
                     97,                  1.052,                0.45628,                 1.2032,                0.96245,                0.97324,                0.98732,                0.77362,                 1.1977,                0.48214,                 1.2953,               0.000496,               0.000496,               0.000496
                     98,                 1.0511,                0.45465,                 1.2015,                 0.9639,                0.97492,                0.98547,                   0.77,                 1.1983,                0.48006,                  1.294,               0.000397,               0.000397,               0.000397
                     99,                 1.0437,                0.45377,                 1.2041,                 0.9642,                0.97492,                0.98832,                0.76356,                    1.2,                0.48279,                 1.2944,               0.000298,               0.000298,               0.000298
                    100,                 1.0414,                0.45254,                 1.1982,                0.96342,                0.97538,                0.98782,                0.76177,                 1.2003,                0.48442,                 1.2941,               0.000199,               0.000199,               0.000199
